MarkNumber	model	etype	robust	closed	occupancy	derived	default.mixtures	num	divisor	strata
136	LinkBarkRan	LinkBarkRan	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE
137	2SpecConOccup	2SpecConOccup	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE
138	BurnhamLDRE	BurnhamLDRE	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE
139	PMDead	PMDead	FALSE	FALSE	FALSE	FALSE	2	0	2	FALSE
140	REDead	REDead	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE
141	RD2SpGEConOcc	RD2SpGEConOcc	TRUE	FALSE	TRUE	TRUE	1	-1	2	FALSE
142	RDMSOpenMCSeas	RDMSOpenMCSeas	TRUE	FALSE	FALSE	TRUE	1	0	1	TRUE
144	OccRelClos	OccRelClos	FALSE	FALSE	TRUE	TRUE	1	0	1	FALSE
145	HugginsRE	HugginsRE	FALSE	TRUE	FALSE	TRUE	1	0	1	FALSE
146	RDHugginsRE	RDHugginsRE	TRUE	FALSE	FALSE	TRUE	1	0	1	FALSE
158	UnIdLogitNormalMR	UnIdLogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1	FALSE
159	UnIdIELogitNormalMR	UnIdIELogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1	FALSE
160	UnIdPoissonMR	UnIdPoissonMR	FALSE	TRUE	FALSE	TRUE	1	-1	2	FALSE
161	DensityRanpc	DensityRanpc	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE

