model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	sub.stratum	leave.unused	socc	subset	events			
PoissonMR	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime													
IELogitNormalMR	p	0	0	0	Square	all	logit	~1					TRUE										
IELogitNormalMR	sigma	0		0	Square	all	log	~session					TRUE										
IELogitNormalMR	Nbar	0			Square	all	log	~session					TRUE										
IELogitNormalMR	alpha	0	-1	0	Square	all	identity	~1					TRUE										
IELogitNormalMR	Nstar	0			Square	all	log	~session					TRUE										
RDMSOpenMisClass	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
RDMSOpenMisClass	Psi	0	-1	0	Triang	all	mlogit	~-1+stratum:tostratum					FALSE	TRUE	TRUE								
RDMSOpenMisClass	pi	1	-2		Square	all	mlogit	~1					FALSE	TRUE		1							
RDMSOpenMisClass	Omega	0	0		Square	all	mlogit	~1					FALSE	TRUE		1							
RDMSOpenMisClass	p	0	0	0	Square	all	logit	~1					TRUE	TRUE									
RDMSOpenMisClass	Delta	0	0	0	Square	all	logit	~1					TRUE	TRUE									
RDMSOpenMisClass	pent	0	-1	0	Square	all	mlogit	~1					TRUE	TRUE									
RDMSOpenMisClass	Phi	0	-1	1	Triang	all	logit	~1					TRUE	TRUE									
RDMSMisClass	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
RDMSMisClass	Psi	0	-1	0	Triang	all	mlogit	~-1+stratum:tostratum					FALSE	TRUE	TRUE								
RDMSMisClass	pi	1	-2		Square	all	mlogit	~1					FALSE	TRUE		1							
RDMSMisClass	Omega	0	0		Square	all	mlogit	~1					FALSE	TRUE		1							
RDMSMisClass	p	0	0	0	Square	all	logit	~1					TRUE	TRUE									
RDMSMisClass	Delta	0	0	0	Square	all	logit	~1					TRUE	TRUE									
CJSRandom	sigmaphi	0	1		Square	all	log	~1															
CJSRandom	Phi	0	-1	1	Triang	all	logit	~1															
CJSRandom	sigmap	0	1		Square	all	log	~1															
CJSRandom	p	1	-1	0	Triang	all	logit	~1															
PradelRecMix	Phi	0	-1	1	Square	all	logit	~1															
PradelRecMix	pi	0	1	0	Square	all	logit	~1			TRUE	-1											
PradelRecMix	p	0	0	0	Square	all	logit	~mixture			TRUE	0											
PradelRecMix	f	0	-1		Square	all	log	~1															
LinkBarkMix	Phi	0	-1	1	Square	all	logit	~1															
LinkBarkMix	pi	0	1	0	Square	all	logit	~1			TRUE	-1											
LinkBarkMix	p	0	0	0	Square	all	logit	~mixture			TRUE	0											
LinkBarkMix	f	0	-1		Square	all	log	~1															
PradSenMix	Phi	0	-1	1	Square	all	logit	~1															
PradSenMix	pi	0	1	0	Square	all	logit	~1			TRUE	-1											
PradSenMix	p	0	0	0	Square	all	logit	~mixture			TRUE	0											
PradSenMix	Gamma	0	-1	1	Square	all	logit	~1															
PradLambdaMix	Phi	0	-1	1	Square	all	logit	~1															
PradLambdaMix	pi	0	1	0	Square	all	logit	~1			TRUE	-1											
PradLambdaMix	p	0	0	0	Square	all	logit	~mixture			TRUE	0											
PradLambdaMix	Lambda	0	-1	1	Square	all	log	~1															
LinkBarkRan	sigmaphi	0	1	0	Square	all	log	~1															
LinkBarkRan	Phi	0	-1	1	Square	all	logit	~1															
LinkBarkRan	sigmap	0	1	0	Square	all	log	~1															
LinkBarkRan	p	0	0	0	Square	all	logit	~1															
LinkBarkRan	sigmaf	0	1	0	Square	all	log	~1															
LinkBarkRan	f	0	-1		Square	all	log	~1															
HCRDMS	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
HCRDMS	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
HCRDMS	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE	TRUE									
HCRDMS	c	1	-1	0	Square	all	logit			p			TRUE	TRUE									
HetRDMS	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
